03:57,59,27,M,00:04:58,00:17:50,00:37:10,01:22:45,02:56:29
04:21,53,45,F,00:06:11,00:22:30,00:46:50,01:44:00,03:42:35
04:08,56,33,M,00:05:14,00:18:40,00:38:55,01:26:52,03:05:03
04:47,51,21,F,00:06:40,00:24:35,00:51:30,01:55:04,04:07:05
04:16,55,39,M,00:05:27,00:19:15,00:40:15,01:29:50,03:11:15
04:30,52,48,F,00:06:24,00:23:25,00:48:50,01:48:47,03:52:55
03:40,63,22,M,00:04:39,00:16:40,00:34:40,01:17:00,02:44:00
04:54,50,42,F,00:06:50,00:25:05,00:52:45,01:57:45,04:12:40
04:00,58,30,M,00:05:04,00:18:10,00:37:50,01:24:25,03:00:05
04:38,51,36,F,00:06:33,00:24:00,00:50:20,01:52:20,04:01:00
03:36,64,25,M,00:04:35,00:16:25,00:34:00,01:15:30,02:40:30
04:43,50,49,F,00:06:44,00:24:45,00:51:50,01:55:50,04:08:50
04:05,57,31,M,00:05:20,00:19:00,00:39:35,01:28:15,03:08:15
04:51,50,24,F,00:06:47,00:24:55,00:52:30,01:57:15,04:11:45
03:50,61,28,M,00:04:48,00:17:15,00:35:55,01:19:50,02:50:20
04:11,55,41,F,00:05:58,00:21:40,00:45:15,01:40:30,03:35:40
04:25,52,37,M,00:05:43,00:20:10,00:42:00,01:33:55,03:20:00
04:34,52,26,F,00:06:28,00:23:40,00:49:30,01:50:30,03:56:40
03:45,62,23,M,00:04:43,00:16:55,00:35:10,01:18:10,02:47:00
04:59,50,47,F,00:06:55,00:25:25,00:53:30,01:59:30,04:16:15
04:02,58,35,M,00:05:08,00:18:25,00:38:20,01:25:25,03:02:00
04:41,51,32,F,00:06:36,00:24:15,00:50:50,01:53:35,04:04:00
03:48,60,29,M,00:04:55,00:17:40,00:36:45,01:21:50,02:54:30
04:13,54,43,F,00:06:04,00:22:00,00:46:00,01:42:15,03:39:00
04:28,52,38,M,00:05:47,00:20:25,00:42:30,01:34:55,03:22:15
04:36,52,20,F,00:06:30,00:23:50,00:50:00,01:51:30,03:59:00
03:53,60,26,M,00:05:00,00:17:55,00:37:25,01:23:15,02:57:30
04:46,50,49,F,00:06:47,00:24:55,00:52:30,01:57:15,04:11:45
04:07,57,34,M,00:05:23,00:19:10,00:40:00,01:29:15,03:10:00
04:56,50,28,F,00:06:52,00:25:15,00:53:00,01:58:30,04:14:20
03:42,62,24,M,00:04:41,00:16:50,00:34:55,01:17:40,02:46:00
04:18,54,40,F,00:06:08,00:22:20,00:46:30,01:43:10,03:41:00
04:31,52,36,M,00:05:49,00:20:30,00:42:45,01:35:15,03:23:00
04:39,51,29,F,00:06:34,00:24:05,00:50:30,01:52:45,04:01:45
03:55,60,21,M,00:05:02,00:18:05,00:37:40,01:23:45,02:58:30
04:49,50,46,F,00:06:45,00:24:50,00:52:15,01:56:45,04:10:50
04:03,58,32,M,00:05:10,00:18:30,00:38:30,01:25:40,03:02:30
04:10,55,44,F,00:05:57,00:21:35,00:45:00,01:40:00,03:34:40
04:26,52,39,M,00:05:45,00:20:15,00:42:15,01:34:25,03:21:00
04:32,52,22,F,00:06:26,00:23:30,00:49:00,01:49:25,03:54:00
03:46,61,20,M,00:04:45,00:17:00,00:35:25,01:18:35,02:48:00
04:58,50,40,F,00:06:54,00:25:20,00:53:15,01:59:00,04:15:30
04:09,56,30,M,00:05:16,00:18:45,00:39:05,01:27:10,03:05:55
04:14,54,45,F,00:06:05,00:22:05,00:46:10,01:42:30,03:39:30
04:20,53,37,M,00:05:35,00:19:40,00:41:00,01:31:30,03:14:50
